query_protein	query_type	is_nrps	is_pks	start_position	end_position	locus	genome_contig_id	window
IO40_RS0119000_elongation_factor_G	req	False	False	6467585	6469715	ADXW_005538|_|GCA_026341515.1_ASM2634151v1.gbk	GCA_026341515.1_ASM2634151v1.gbk|-|JAPEOK010000001.1	1664
IO40_RS0119000_elongation_factor_G	req	False	False	33292	35395	ADEL_005063|_|GCA_019049205.1_ASM1904920v1.gbk	GCA_019049205.1_ASM1904920v1.gbk|-|JAGMUI010000050.1	1665
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	35433	35904	ADEL_005064|_|GCA_019049205.1_ASM1904920v1.gbk	GCA_019049205.1_ASM1904920v1.gbk|-|JAGMUI010000050.1	1665
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	35906	36278	ADEL_005065|_|GCA_019049205.1_ASM1904920v1.gbk	GCA_019049205.1_ASM1904920v1.gbk|-|JAGMUI010000050.1	1665
IO40_RS0119000_elongation_factor_G	req	False	False	2966702	2968832	AFGF_002484|_|GCA_036240075.1_ASM3624007v1.gbk	GCA_036240075.1_ASM3624007v1.gbk|-|CP108452.1	1666
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	2968870	2969341	AFGF_002485|_|GCA_036240075.1_ASM3624007v1.gbk	GCA_036240075.1_ASM3624007v1.gbk|-|CP108452.1	1666
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	2969343	2969715	AFGF_002486|_|GCA_036240075.1_ASM3624007v1.gbk	GCA_036240075.1_ASM3624007v1.gbk|-|CP108452.1	1666
IO40_RS0119000_elongation_factor_G	req	False	False	1307451	1309497	AIVY_001129|_|GCA_040819605.1_ASM4081960v1.gbk	GCA_040819605.1_ASM4081960v1.gbk|-|CP161948.1	NA
IO40_RS0119000_elongation_factor_G	req	False	False	3251610	3253737	AIVY_002808|_|GCA_040819605.1_ASM4081960v1.gbk	GCA_040819605.1_ASM4081960v1.gbk|-|CP161948.1	1667
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	3253776	3254247	AIVY_002809|_|GCA_040819605.1_ASM4081960v1.gbk	GCA_040819605.1_ASM4081960v1.gbk|-|CP161948.1	1667
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	3254249	3254621	AIVY_002810|_|GCA_040819605.1_ASM4081960v1.gbk	GCA_040819605.1_ASM4081960v1.gbk|-|CP161948.1	1667
IO40_RS0119000_elongation_factor_G	req	False	False	6820	8950	AISS_000256|_|GCA_040703235.1_ASM4070323v1.gbk	GCA_040703235.1_ASM4070323v1.gbk|-|JBEXDM010000007.1	1668
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	8989	9460	AISS_000257|_|GCA_040703235.1_ASM4070323v1.gbk	GCA_040703235.1_ASM4070323v1.gbk|-|JBEXDM010000007.1	1668
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	9463	9835	AISS_000258|_|GCA_040703235.1_ASM4070323v1.gbk	GCA_040703235.1_ASM4070323v1.gbk|-|JBEXDM010000007.1	1668
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	617	989	AATN_000813|_|GCA_001418625.1_ASM141862v1.gbk	GCA_001418625.1_ASM141862v1.gbk|-|LIQV01000140.1	1669
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	991	1462	AATN_000814|_|GCA_001418625.1_ASM141862v1.gbk	GCA_001418625.1_ASM141862v1.gbk|-|LIQV01000140.1	1669
IO40_RS0119000_elongation_factor_G	req	False	False	1500	3630	AATN_000815|_|GCA_001418625.1_ASM141862v1.gbk	GCA_001418625.1_ASM141862v1.gbk|-|LIQV01000140.1	1669
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	335180	335552	AJDT_000867|_|GCA_935184445.1_ASM93518444v1.gbk	GCA_935184445.1_ASM93518444v1.gbk|-|CAKXYP010000002.1	1670
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	335554	336025	AJDT_000868|_|GCA_935184445.1_ASM93518444v1.gbk	GCA_935184445.1_ASM93518444v1.gbk|-|CAKXYP010000002.1	1670
IO40_RS0119000_elongation_factor_G	req	False	False	336063	338193	AJDT_000869|_|GCA_935184445.1_ASM93518444v1.gbk	GCA_935184445.1_ASM93518444v1.gbk|-|CAKXYP010000002.1	1670
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	215795	216167	AHMG_003005|_|GCA_040642395.1_ASM4064239v1.gbk	GCA_040642395.1_ASM4064239v1.gbk|-|JBEYRR010000003.1	1671
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	216169	216640	AHMG_003006|_|GCA_040642395.1_ASM4064239v1.gbk	GCA_040642395.1_ASM4064239v1.gbk|-|JBEYRR010000003.1	1671
IO40_RS0119000_elongation_factor_G	req	False	False	216679	218806	AHMG_003007|_|GCA_040642395.1_ASM4064239v1.gbk	GCA_040642395.1_ASM4064239v1.gbk|-|JBEYRR010000003.1	1671
IO40_RS0119000_elongation_factor_G	req	False	False	248417	250544	AIUJ_001549|_|GCA_040704155.1_ASM4070415v1.gbk	GCA_040704155.1_ASM4070415v1.gbk|-|JBEYRW010000005.1	1672
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	250583	251054	AIUJ_001550|_|GCA_040704155.1_ASM4070415v1.gbk	GCA_040704155.1_ASM4070415v1.gbk|-|JBEYRW010000005.1	1672
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	251056	251428	AIUJ_001551|_|GCA_040704155.1_ASM4070415v1.gbk	GCA_040704155.1_ASM4070415v1.gbk|-|JBEYRW010000005.1	1672
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	20768	21140	AGHT_001066|_|GCA_040606335.1_ASM4060633v1.gbk	GCA_040606335.1_ASM4060633v1.gbk|-|JBEXOA010000015.1	1673
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	21142	21613	AGHT_001067|_|GCA_040606335.1_ASM4060633v1.gbk	GCA_040606335.1_ASM4060633v1.gbk|-|JBEXOA010000015.1	1673
IO40_RS0119000_elongation_factor_G	req	False	False	21652	23779	AGHT_001068|_|GCA_040606335.1_ASM4060633v1.gbk	GCA_040606335.1_ASM4060633v1.gbk|-|JBEXOA010000015.1	1673
IO40_RS0119000_elongation_factor_G	req	False	False	448245	450372	ADKL_002938|_|GCA_020861705.1_ASM2086170v1.gbk	GCA_020861705.1_ASM2086170v1.gbk|-|JAJIBA010000002.1	1674
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	450411	450882	ADKL_002939|_|GCA_020861705.1_ASM2086170v1.gbk	GCA_020861705.1_ASM2086170v1.gbk|-|JAJIBA010000002.1	1674
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	450884	451256	ADKL_002940|_|GCA_020861705.1_ASM2086170v1.gbk	GCA_020861705.1_ASM2086170v1.gbk|-|JAJIBA010000002.1	1674
IO40_RS0119000_elongation_factor_G	req	False	False	3832479	3834600	AFBH_003312|_|GCA_036124195.1_ASM3612419v1.gbk	GCA_036124195.1_ASM3612419v1.gbk|-|CP108005.1	1675
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	3834639	3835110	AFBH_003313|_|GCA_036124195.1_ASM3612419v1.gbk	GCA_036124195.1_ASM3612419v1.gbk|-|CP108005.1	1675
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	3835112	3835484	AFBH_003314|_|GCA_036124195.1_ASM3612419v1.gbk	GCA_036124195.1_ASM3612419v1.gbk|-|CP108005.1	1675
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	1203987	1204359	AECE_001590|_|GCA_027925645.1_ASM2792564v1.gbk	GCA_027925645.1_ASM2792564v1.gbk|-|BNEF01000002.1	1676
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	1204361	1204832	AECE_001591|_|GCA_027925645.1_ASM2792564v1.gbk	GCA_027925645.1_ASM2792564v1.gbk|-|BNEF01000002.1	1676
IO40_RS0119000_elongation_factor_G	req	False	False	1204871	1206998	AECE_001592|_|GCA_027925645.1_ASM2792564v1.gbk	GCA_027925645.1_ASM2792564v1.gbk|-|BNEF01000002.1	1676
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	218929	219301	ACTM_000209|_|GCA_014656315.1_ASM1465631v1.gbk	GCA_014656315.1_ASM1465631v1.gbk|-|BNCE01000001.1	1677
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	219303	219774	ACTM_000210|_|GCA_014656315.1_ASM1465631v1.gbk	GCA_014656315.1_ASM1465631v1.gbk|-|BNCE01000001.1	1677
IO40_RS0119000_elongation_factor_G	req	False	False	219813	221940	ACTM_000211|_|GCA_014656315.1_ASM1465631v1.gbk	GCA_014656315.1_ASM1465631v1.gbk|-|BNCE01000001.1	1677
IO40_RS0119000_elongation_factor_G	req	False	False	1669359	1671426	AFAR_001453|_|GCA_036075115.1_ASM3607511v1.gbk	GCA_036075115.1_ASM3607511v1.gbk|-|CP107958.1	NA
IO40_RS0119000_elongation_factor_G	req	False	False	3806531	3808658	AFAR_003382|_|GCA_036075115.1_ASM3607511v1.gbk	GCA_036075115.1_ASM3607511v1.gbk|-|CP107958.1	1678
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	3808697	3809168	AFAR_003383|_|GCA_036075115.1_ASM3607511v1.gbk	GCA_036075115.1_ASM3607511v1.gbk|-|CP107958.1	1678
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	3809171	3809543	AFAR_003384|_|GCA_036075115.1_ASM3607511v1.gbk	GCA_036075115.1_ASM3607511v1.gbk|-|CP107958.1	1678
IO40_RS0119000_elongation_factor_G	req	False	False	182824	184954	ADDG_005341|_|GCA_018614515.1_ASM1861451v1.gbk	GCA_018614515.1_ASM1861451v1.gbk|-|JAGGOM010000005.1	1679
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	184992	185463	ADDG_005342|_|GCA_018614515.1_ASM1861451v1.gbk	GCA_018614515.1_ASM1861451v1.gbk|-|JAGGOM010000005.1	1679
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	185465	185837	ADDG_005343|_|GCA_018614515.1_ASM1861451v1.gbk	GCA_018614515.1_ASM1861451v1.gbk|-|JAGGOM010000005.1	1679
IO40_RS0119000_elongation_factor_G	req	False	False	69787	71911	ABKA_004699|_|GCA_003265665.1_ASM326566v1.gbk	GCA_003265665.1_ASM326566v1.gbk|-|KZ836086.1	1680
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	71950	72421	ABKA_004700|_|GCA_003265665.1_ASM326566v1.gbk	GCA_003265665.1_ASM326566v1.gbk|-|KZ836086.1	1680
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	72423	72795	ABKA_004701|_|GCA_003265665.1_ASM326566v1.gbk	GCA_003265665.1_ASM326566v1.gbk|-|KZ836086.1	1680
IO40_RS0119000_elongation_factor_G	req	False	False	332426	334553	ADOI_001691|_|GCA_022698165.1_ASM2269816v1.gbk	GCA_022698165.1_ASM2269816v1.gbk|-|JALDAY010000011.1	1681
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	334592	335063	ADOI_001692|_|GCA_022698165.1_ASM2269816v1.gbk	GCA_022698165.1_ASM2269816v1.gbk|-|JALDAY010000011.1	1681
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	335065	335437	ADOI_001693|_|GCA_022698165.1_ASM2269816v1.gbk	GCA_022698165.1_ASM2269816v1.gbk|-|JALDAY010000011.1	1681
IO40_RS0119000_elongation_factor_G	req	False	False	1634683	1636714	ADGG_001603|_|GCA_019733325.1_ASM1973332v1.gbk	GCA_019733325.1_ASM1973332v1.gbk|-|JAIHBQ010000001.1	NA
IO40_RS0119000_elongation_factor_G	req	False	False	3122299	3124429	ADGG_002915|_|GCA_019733325.1_ASM1973332v1.gbk	GCA_019733325.1_ASM1973332v1.gbk|-|JAIHBQ010000001.1	1682
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	3124468	3124939	ADGG_002916|_|GCA_019733325.1_ASM1973332v1.gbk	GCA_019733325.1_ASM1973332v1.gbk|-|JAIHBQ010000001.1	1682
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	3124941	3125313	ADGG_002917|_|GCA_019733325.1_ASM1973332v1.gbk	GCA_019733325.1_ASM1973332v1.gbk|-|JAIHBQ010000001.1	1682
IO40_RS0119000_elongation_factor_G	req	False	False	196278	198405	AGYA_003500|_|GCA_040631925.1_ASM4063192v1.gbk	GCA_040631925.1_ASM4063192v1.gbk|-|JBEYAX010000008.1	1683
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	198444	198915	AGYA_003501|_|GCA_040631925.1_ASM4063192v1.gbk	GCA_040631925.1_ASM4063192v1.gbk|-|JBEYAX010000008.1	1683
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	198917	199289	AGYA_003502|_|GCA_040631925.1_ASM4063192v1.gbk	GCA_040631925.1_ASM4063192v1.gbk|-|JBEYAX010000008.1	1683
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	4987640	4988012	ACLF_004516|_|GCA_014138855.1_ASM1413885v1.gbk	GCA_014138855.1_ASM1413885v1.gbk|-|JACJIJ010000002.1	1684
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	4988014	4988485	ACLF_004517|_|GCA_014138855.1_ASM1413885v1.gbk	GCA_014138855.1_ASM1413885v1.gbk|-|JACJIJ010000002.1	1684
IO40_RS0119000_elongation_factor_G	req	False	False	4988524	4990651	ACLF_004518|_|GCA_014138855.1_ASM1413885v1.gbk	GCA_014138855.1_ASM1413885v1.gbk|-|JACJIJ010000002.1	1684
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	210106	210478	AEMM_004127|_|GCA_032248635.1_ASM3224863v1.gbk	GCA_032248635.1_ASM3224863v1.gbk|-|JASTTI010000008.1	1685
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	210480	210951	AEMM_004128|_|GCA_032248635.1_ASM3224863v1.gbk	GCA_032248635.1_ASM3224863v1.gbk|-|JASTTI010000008.1	1685
IO40_RS0119000_elongation_factor_G	req	False	False	210990	213123	AEMM_004129|_|GCA_032248635.1_ASM3224863v1.gbk	GCA_032248635.1_ASM3224863v1.gbk|-|JASTTI010000008.1	1685
IO40_RS0119000_elongation_factor_G	req	False	False	3704058	3706191	AFCS_003315|_|GCA_036193325.1_ASM3619332v1.gbk	GCA_036193325.1_ASM3619332v1.gbk|-|CP108090.1	1686
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	3706230	3706701	AFCS_003316|_|GCA_036193325.1_ASM3619332v1.gbk	GCA_036193325.1_ASM3619332v1.gbk|-|CP108090.1	1686
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	3706703	3707075	AFCS_003317|_|GCA_036193325.1_ASM3619332v1.gbk	GCA_036193325.1_ASM3619332v1.gbk|-|CP108090.1	1686
IO40_RS0119000_elongation_factor_G	req	False	False	8262003	8264079	AFCS_007540|_|GCA_036193325.1_ASM3619332v1.gbk	GCA_036193325.1_ASM3619332v1.gbk|-|CP108090.1	NA
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	5575030	5575402	ADZY_005204|_|GCA_026343335.1_ASM2634333v1.gbk	GCA_026343335.1_ASM2634333v1.gbk|-|JAPELX010000001.1	1687
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	5575405	5575876	ADZY_005205|_|GCA_026343335.1_ASM2634333v1.gbk	GCA_026343335.1_ASM2634333v1.gbk|-|JAPELX010000001.1	1687
IO40_RS0119000_elongation_factor_G	req	False	False	5575915	5578045	ADZY_005206|_|GCA_026343335.1_ASM2634333v1.gbk	GCA_026343335.1_ASM2634333v1.gbk|-|JAPELX010000001.1	1687
IO40_RS0119000_elongation_factor_G	req	False	False	7850274	7852317	ADZY_007231|_|GCA_026343335.1_ASM2634333v1.gbk	GCA_026343335.1_ASM2634333v1.gbk|-|JAPELX010000001.1	NA
IO40_RS0119000_elongation_factor_G	req	False	False	3153440	3155570	AFHA_002769|_|GCA_036250635.1_ASM3625063v1.gbk	GCA_036250635.1_ASM3625063v1.gbk|-|CP109202.1	1688
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	3155608	3156079	AFHA_002770|_|GCA_036250635.1_ASM3625063v1.gbk	GCA_036250635.1_ASM3625063v1.gbk|-|CP109202.1	1688
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	3156081	3156453	AFHA_002771|_|GCA_036250635.1_ASM3625063v1.gbk	GCA_036250635.1_ASM3625063v1.gbk|-|CP109202.1	1688
IO40_RS0119000_elongation_factor_G	req	False	False	140955	143082	AHNV_002686|_|GCA_040643775.1_ASM4064377v1.gbk	GCA_040643775.1_ASM4064377v1.gbk|-|JBEYUY010000006.1	1689
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	143121	143592	AHNV_002687|_|GCA_040643775.1_ASM4064377v1.gbk	GCA_040643775.1_ASM4064377v1.gbk|-|JBEYUY010000006.1	1689
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	143594	143966	AHNV_002688|_|GCA_040643775.1_ASM4064377v1.gbk	GCA_040643775.1_ASM4064377v1.gbk|-|JBEYUY010000006.1	1689
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	295969	296341	AHZY_001231|_|GCA_040653075.1_ASM4065307v1.gbk	GCA_040653075.1_ASM4065307v1.gbk|-|JBEZNB010000004.1	1690
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	296343	296814	AHZY_001232|_|GCA_040653075.1_ASM4065307v1.gbk	GCA_040653075.1_ASM4065307v1.gbk|-|JBEZNB010000004.1	1690
IO40_RS0119000_elongation_factor_G	req	False	False	296853	298980	AHZY_001233|_|GCA_040653075.1_ASM4065307v1.gbk	GCA_040653075.1_ASM4065307v1.gbk|-|JBEZNB010000004.1	1690
IO40_RS0119000_elongation_factor_G	req	False	False	3468568	3470701	AEHZ_002985|_|GCA_030440515.1_ASM3044051v1.gbk	GCA_030440515.1_ASM3044051v1.gbk|-|CP076543.1	1691
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	3470740	3471211	AEHZ_002986|_|GCA_030440515.1_ASM3044051v1.gbk	GCA_030440515.1_ASM3044051v1.gbk|-|CP076543.1	1691
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	3471213	3471585	AEHZ_002987|_|GCA_030440515.1_ASM3044051v1.gbk	GCA_030440515.1_ASM3044051v1.gbk|-|CP076543.1	1691
IO40_RS0119000_elongation_factor_G	req	False	False	7880880	7882956	AEHZ_007017|_|GCA_030440515.1_ASM3044051v1.gbk	GCA_030440515.1_ASM3044051v1.gbk|-|CP076543.1	NA
IO40_RS0119000_elongation_factor_G	req	False	False	93195	95322	AFVS_002400|_|GCA_040296405.1_ASM4029640v1.gbk	GCA_040296405.1_ASM4029640v1.gbk|-|JBEOXF010000008.1	1692
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	95361	95832	AFVS_002401|_|GCA_040296405.1_ASM4029640v1.gbk	GCA_040296405.1_ASM4029640v1.gbk|-|JBEOXF010000008.1	1692
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	95834	96206	AFVS_002402|_|GCA_040296405.1_ASM4029640v1.gbk	GCA_040296405.1_ASM4029640v1.gbk|-|JBEOXF010000008.1	1692
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	57722	58094	AGJR_006355|_|GCA_040607815.1_ASM4060781v1.gbk	GCA_040607815.1_ASM4060781v1.gbk|-|JBEXHK010000047.1	1693
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	58097	58568	AGJR_006356|_|GCA_040607815.1_ASM4060781v1.gbk	GCA_040607815.1_ASM4060781v1.gbk|-|JBEXHK010000047.1	1693
IO40_RS0119000_elongation_factor_G	req	False	False	58607	60737	AGJR_006357|_|GCA_040607815.1_ASM4060781v1.gbk	GCA_040607815.1_ASM4060781v1.gbk|-|JBEXHK010000047.1	1693
IO40_RS0119000_elongation_factor_G	req	False	False	346192	348319	AFUU_001077|_|GCA_040295785.1_ASM4029578v1.gbk	GCA_040295785.1_ASM4029578v1.gbk|-|JBEOWA010000002.1	1694
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	348358	348829	AFUU_001078|_|GCA_040295785.1_ASM4029578v1.gbk	GCA_040295785.1_ASM4029578v1.gbk|-|JBEOWA010000002.1	1694
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	348831	349203	AFUU_001079|_|GCA_040295785.1_ASM4029578v1.gbk	GCA_040295785.1_ASM4029578v1.gbk|-|JBEOWA010000002.1	1694
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	33546	33918	AGBW_000113|_|GCA_040300845.1_ASM4030084v1.gbk	GCA_040300845.1_ASM4030084v1.gbk|-|JBEPEN010000002.1	1695
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	33920	34391	AGBW_000114|_|GCA_040300845.1_ASM4030084v1.gbk	GCA_040300845.1_ASM4030084v1.gbk|-|JBEPEN010000002.1	1695
IO40_RS0119000_elongation_factor_G	req	False	False	34430	36551	AGBW_000115|_|GCA_040300845.1_ASM4030084v1.gbk	GCA_040300845.1_ASM4030084v1.gbk|-|JBEPEN010000002.1	1695
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	4647206	4647578	AEHX_004072|_|GCA_030406905.1_ASM3040690v1.gbk	GCA_030406905.1_ASM3040690v1.gbk|-|CP129137.1	1696
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	4647580	4648051	AEHX_004073|_|GCA_030406905.1_ASM3040690v1.gbk	GCA_030406905.1_ASM3040690v1.gbk|-|CP129137.1	1696
IO40_RS0119000_elongation_factor_G	req	False	False	4648090	4650217	AEHX_004074|_|GCA_030406905.1_ASM3040690v1.gbk	GCA_030406905.1_ASM3040690v1.gbk|-|CP129137.1	1696
IO40_RS0119000_elongation_factor_G	req	False	False	7716983	7719083	AEHX_006695|_|GCA_030406905.1_ASM3040690v1.gbk	GCA_030406905.1_ASM3040690v1.gbk|-|CP129137.1	NA
IO40_RS0119000_elongation_factor_G	req	False	False	3199929	3202056	ACHX_002776|_|GCA_013046785.1_ASM1304678v1.gbk	GCA_013046785.1_ASM1304678v1.gbk|-|CP053189.1	1697
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	3202095	3202566	ACHX_002777|_|GCA_013046785.1_ASM1304678v1.gbk	GCA_013046785.1_ASM1304678v1.gbk|-|CP053189.1	1697
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	3202568	3202940	ACHX_002778|_|GCA_013046785.1_ASM1304678v1.gbk	GCA_013046785.1_ASM1304678v1.gbk|-|CP053189.1	1697
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	386323	386695	AFRD_002930|_|GCA_039534465.1_ASM3953446v1.gbk	GCA_039534465.1_ASM3953446v1.gbk|-|BAAAVJ010000006.1	1698
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	386697	387168	AFRD_002931|_|GCA_039534465.1_ASM3953446v1.gbk	GCA_039534465.1_ASM3953446v1.gbk|-|BAAAVJ010000006.1	1698
IO40_RS0119000_elongation_factor_G	req	False	False	387206	389336	AFRD_002932|_|GCA_039534465.1_ASM3953446v1.gbk	GCA_039534465.1_ASM3953446v1.gbk|-|BAAAVJ010000006.1	1698
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	491204	491576	AHRH_001485|_|GCA_040646075.1_ASM4064607v1.gbk	GCA_040646075.1_ASM4064607v1.gbk|-|JBEYZM010000002.1	1699
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	491578	492049	AHRH_001486|_|GCA_040646075.1_ASM4064607v1.gbk	GCA_040646075.1_ASM4064607v1.gbk|-|JBEYZM010000002.1	1699
IO40_RS0119000_elongation_factor_G	req	False	False	492088	494218	AHRH_001487|_|GCA_040646075.1_ASM4064607v1.gbk	GCA_040646075.1_ASM4064607v1.gbk|-|JBEYZM010000002.1	1699
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	368	740	ADIL_006597|_|GCA_020176795.1_ASM2017679v1.gbk	GCA_020176795.1_ASM2017679v1.gbk|-|JAIUKE010000517.1	1700
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	742	1213	ADIL_006598|_|GCA_020176795.1_ASM2017679v1.gbk	GCA_020176795.1_ASM2017679v1.gbk|-|JAIUKE010000517.1	1700
IO40_RS0119000_elongation_factor_G	req	False	False	1252	3382	ADIL_006599|_|GCA_020176795.1_ASM2017679v1.gbk	GCA_020176795.1_ASM2017679v1.gbk|-|JAIUKE010000517.1	1700
IO40_RS0119000_elongation_factor_G	req	False	False	11300	13427	AAEO_006134|_|GCA_000696595.1_StrepLeeu1.0.gbk	GCA_000696595.1_StrepLeeu1.0.gbk|-|AZSD01000480.1	1701
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	13466	13937	AAEO_006135|_|GCA_000696595.1_StrepLeeu1.0.gbk	GCA_000696595.1_StrepLeeu1.0.gbk|-|AZSD01000480.1	1701
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	13939	14311	AAEO_006136|_|GCA_000696595.1_StrepLeeu1.0.gbk	GCA_000696595.1_StrepLeeu1.0.gbk|-|AZSD01000480.1	1701
IO40_RS0119000_elongation_factor_G	req	False	False	3617787	3619932	AIYO_003243|_|GCA_041435335.1_ASM4143533v1.gbk	GCA_041435335.1_ASM4143533v1.gbk|-|CP108430.1	NA
IO40_RS0119000_elongation_factor_G	req	False	False	4006600	4008727	AIYO_003609|_|GCA_041435335.1_ASM4143533v1.gbk	GCA_041435335.1_ASM4143533v1.gbk|-|CP108430.1	1702
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	4008766	4009237	AIYO_003610|_|GCA_041435335.1_ASM4143533v1.gbk	GCA_041435335.1_ASM4143533v1.gbk|-|CP108430.1	1702
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	4009239	4009611	AIYO_003611|_|GCA_041435335.1_ASM4143533v1.gbk	GCA_041435335.1_ASM4143533v1.gbk|-|CP108430.1	1702
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	297061	297433	AIIE_003510|_|GCA_040679915.1_ASM4067991v1.gbk	GCA_040679915.1_ASM4067991v1.gbk|-|JBFAVS010000005.1	1703
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	297435	297906	AIIE_003511|_|GCA_040679915.1_ASM4067991v1.gbk	GCA_040679915.1_ASM4067991v1.gbk|-|JBFAVS010000005.1	1703
IO40_RS0119000_elongation_factor_G	req	False	False	297945	300072	AIIE_003512|_|GCA_040679915.1_ASM4067991v1.gbk	GCA_040679915.1_ASM4067991v1.gbk|-|JBFAVS010000005.1	1703
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	209151	209523	AAMT_004059|_|GCA_000725475.1_Doro.v1.0.gbk	GCA_000725475.1_Doro.v1.0.gbk|-|JNXR01000013.1	1704
IO40_RS0118995_30S_ribosomal_protein_S7	req	False	False	209525	209996	AAMT_004060|_|GCA_000725475.1_Doro.v1.0.gbk	GCA_000725475.1_Doro.v1.0.gbk|-|JNXR01000013.1	1704
IO40_RS0119000_elongation_factor_G	req	False	False	210035	212162	AAMT_004061|_|GCA_000725475.1_Doro.v1.0.gbk	GCA_000725475.1_Doro.v1.0.gbk|-|JNXR01000013.1	1704
IO40_RS0118990_30S_ribosomal_protein_S12	req	False	False	6147078	6147450	AEYL_005426|_|GCA_035999765.1_ASM3599976v1.gbk	GCA_035999765.1_ASM3599976v1.gbk|-|CP108521.1	1705
